17:42:27.873756 IP magody-pc.52498 > 162.159.138.232.443: UDP, length 428
17:42:27.880009 IP 162.159.138.232.443 > magody-pc.52498: UDP, length 24
17:42:27.881590 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 1095
17:42:27.887903 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 26
17:42:27.887918 IP 162.159.138.232.443 > magody-pc.52498: UDP, length 870
17:42:27.889674 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 1095
17:42:27.891857 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 1100
17:42:27.892388 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 1104
17:42:27.899579 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 25
17:42:27.902197 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 25
17:42:27.913549 IP magody-pc.52498 > 162.159.138.232.443: UDP, length 45
17:42:27.924127 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.924144 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.924191 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.924195 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.924197 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.924198 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.924200 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.924202 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.924205 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.924206 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.924455 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 45
17:42:27.925856 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.925874 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.926308 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.926321 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
